"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 18 10:09:55 PST 2024","Sun Feb 18 10:10:03 PST 2024","7916","tests","test_about_page","","","","test_open_page[https://warvictimsfund.com/about-us]",""
"broken","Sat Feb 17 19:31:24 PST 2024","Sat Feb 17 19:31:24 PST 2024","0","tests","test_contact_form","","","","test_input[field_data_dict0]",""
"passed","Sun Feb 18 10:10:25 PST 2024","Sun Feb 18 10:10:26 PST 2024","1433","tests","test_home_page","","","","test_logo_redirect",""
"passed","Sun Feb 18 10:10:03 PST 2024","Sun Feb 18 10:10:03 PST 2024","282","tests","test_about_page","","","","test_phone_present[//a[@href=""tel:+37067045284""]]",""
"passed","Sun Feb 18 10:10:03 PST 2024","Sun Feb 18 10:10:03 PST 2024","350","tests","test_about_page","","","","test_email[//a[@href=""mailto:HELP@WARVICTIMSFUND.COM""]]",""
"passed","Sun Feb 18 10:10:25 PST 2024","Sun Feb 18 10:10:25 PST 2024","72","tests","test_home_page","","","","test_loading_check",""
"passed","Sun Feb 18 10:10:12 PST 2024","Sun Feb 18 10:10:13 PST 2024","1185","tests","test_contact_form","","","","test_open_page[https://warvictimsfund.com/conacts]",""
"broken","Sat Feb 17 19:27:24 PST 2024","Sat Feb 17 19:27:24 PST 2024","0","tests","test_contact_form","","","","test_input[warvictimsfund]",""
"passed","Sun Feb 18 10:10:22 PST 2024","Sun Feb 18 10:10:25 PST 2024","2449","tests","test_home_page","","","","test_open_page[https://warvictimsfund.com/]",""
"passed","Sun Feb 18 10:10:26 PST 2024","Sun Feb 18 10:10:27 PST 2024","325","tests","test_home_page","","","","test_social_media",""
"passed","Sun Feb 18 10:10:03 PST 2024","Sun Feb 18 10:10:03 PST 2024","267","tests","test_about_page","","","","test_address[//span[@style=""font-size:18px"" and contains(text(), ""\u017dIRNI\u0172 STR. 10, VILNIUS 02120, LITHUANIA"")]]",""
"broken","Sun Feb 18 10:10:13 PST 2024","Sun Feb 18 10:10:13 PST 2024","0","tests","test_contact_form","","","","test_input[field_data_dict0]",""
